time,cnt_chat,cnt_ㅋ,cnt_ㄵ,cnt_오,cnt_와,cnt_유하,validation
2018-12-07 11:10:39,3,9,0,1,1,0,0
2018-12-07 11:10:41,3,16,0,0,0,0,0
2018-12-07 11:10:42,2,12,0,0,0,0,0
2018-12-07 11:10:43,7,74,0,0,0,0,0
2018-12-07 11:10:44,4,14,0,0,0,0,0
2018-12-07 11:10:46,1,21,0,0,0,0,0
2018-12-07 11:10:47,4,53,0,0,0,0,0
2018-12-07 11:10:48,4,22,0,0,0,0,0
2018-12-07 11:10:49,6,58,0,0,0,0,0
2018-12-07 11:10:50,5,13,0,0,1,0,0
2018-12-07 11:10:51,3,21,0,0,0,0,0
2018-12-07 11:10:52,1,7,0,0,0,0,0
2018-12-07 11:10:53,2,20,0,0,0,0,0
2018-12-07 11:10:54,6,0,0,0,0,0,0
2018-12-07 11:10:55,2,2,0,0,0,0,0
2018-12-07 11:10:56,3,3,0,0,0,0,0
2018-12-07 11:10:57,3,0,0,0,0,0,0
2018-12-07 11:10:58,3,10,0,0,0,0,0
2018-12-07 11:10:59,1,0,0,0,0,0,0
2018-12-07 11:11:00,2,0,0,0,0,0,0
2018-12-07 11:11:01,2,0,0,0,0,0,0
2018-12-07 11:11:02,2,7,0,0,0,0,0
2018-12-07 11:11:03,2,0,0,0,0,0,0
2018-12-07 11:11:06,2,0,0,0,0,0,0
2018-12-07 11:11:09,2,0,0,0,0,0,0
2018-12-07 11:11:10,1,0,0,0,0,0,0
2018-12-07 11:11:15,1,0,0,0,0,0,0
2018-12-07 11:11:17,1,0,0,0,0,0,0
2018-12-07 11:11:18,1,0,0,0,0,0,0
2018-12-07 11:11:22,3,0,0,0,0,0,0
2018-12-07 11:11:24,1,0,0,0,0,0,0
2018-12-07 11:11:25,2,0,0,0,0,0,0
2018-12-07 11:11:26,2,0,0,0,1,0,0
2018-12-07 11:11:27,1,0,0,0,0,0,0
2018-12-07 11:11:28,1,0,0,0,0,0,0
2018-12-07 11:11:32,3,0,0,0,0,0,0
2018-12-07 11:11:33,2,0,0,0,0,0,0
2018-12-07 11:11:34,4,23,0,0,0,0,0
2018-12-07 11:11:35,3,0,0,0,0,0,0
2018-12-07 11:11:36,3,4,0,0,0,0,0
2018-12-07 11:11:37,2,0,0,1,0,0,0
2018-12-07 11:11:38,4,0,0,0,0,0,0
2018-12-07 11:11:39,1,0,0,0,0,0,0
2018-12-07 11:11:40,3,11,0,0,0,0,0
2018-12-07 11:11:41,1,0,0,0,0,0,0
2018-12-07 11:11:42,2,0,0,0,0,0,0
2018-12-07 11:11:43,1,3,0,0,0,0,0
2018-12-07 11:11:44,1,5,0,0,0,0,0
2018-12-07 11:11:45,2,0,0,1,0,0,0
2018-12-07 11:11:46,1,16,0,0,0,0,0
2018-12-07 11:11:47,1,0,0,0,0,0,0
2018-12-07 11:11:49,3,0,0,0,0,0,0
2018-12-07 11:11:50,2,0,0,1,0,0,0
2018-12-07 11:11:51,3,0,0,2,0,0,0
2018-12-07 11:11:52,3,0,0,0,1,0,0
2018-12-07 11:11:53,3,0,0,0,0,0,0
2018-12-07 11:11:54,1,3,0,0,0,0,0
2018-12-07 11:11:55,5,11,0,1,0,0,0
2018-12-07 11:11:56,6,13,0,1,0,0,0
2018-12-07 11:11:57,1,0,0,0,0,0,0
2018-12-07 11:11:58,2,0,0,0,0,0,0
2018-12-07 11:11:59,2,7,0,0,0,0,0
2018-12-07 11:12:00,4,21,0,1,0,0,0
2018-12-07 11:12:01,5,12,0,0,0,0,0
2018-12-07 11:12:02,3,14,0,1,0,0,0
2018-12-07 11:12:03,4,5,0,0,0,0,0
2018-12-07 11:12:04,4,0,0,0,0,0,0
2018-12-07 11:12:05,3,4,0,0,0,0,0
2018-12-07 11:12:09,1,0,0,0,0,0,0
2018-12-07 11:12:10,3,8,0,1,0,0,0
2018-12-07 11:12:11,1,0,0,0,1,0,0
2018-12-07 11:12:13,5,0,0,1,0,0,0
2018-12-07 11:12:14,1,0,0,0,0,0,0
2018-12-07 11:12:15,3,0,0,0,0,0,0
2018-12-07 11:12:16,4,3,0,0,0,0,0
2018-12-07 11:12:17,3,0,0,0,0,0,0
2018-12-07 11:12:18,2,0,0,0,0,0,0
2018-12-07 11:12:19,5,1,0,0,0,0,0
2018-12-07 11:12:20,6,9,0,0,0,0,0
2018-12-07 11:12:21,3,3,0,0,0,0,0
2018-12-07 11:12:22,6,14,0,2,0,0,0
2018-12-07 11:12:23,2,2,0,0,0,0,0
2018-12-07 11:12:24,2,0,0,0,0,0,0
2018-12-07 11:12:26,3,0,0,0,0,0,0
2018-12-07 11:12:27,1,0,0,0,0,0,0
2018-12-07 11:12:28,1,0,0,0,0,0,0
2018-12-07 11:12:29,4,0,0,0,0,0,0
2018-12-07 11:12:31,1,8,0,0,0,0,0
2018-12-07 11:12:33,2,0,0,1,0,0,0
2018-12-07 11:12:34,3,0,0,0,0,0,0
2018-12-07 11:12:36,1,0,0,0,0,0,0
2018-12-07 11:12:38,1,0,0,0,0,0,0
2018-12-07 11:12:42,1,0,0,0,0,0,0
2018-12-07 11:12:46,2,0,0,0,0,0,0
2018-12-07 11:12:56,1,0,0,0,0,0,0
2018-12-07 11:12:57,1,2,0,0,0,0,0
2018-12-07 11:13:00,2,0,0,0,0,0,0
2018-12-07 11:13:01,1,0,0,0,0,0,0
2018-12-07 11:13:03,1,0,0,0,0,0,0
2018-12-07 11:13:06,1,0,0,0,0,0,0
2018-12-07 11:13:08,1,0,0,0,0,0,0
2018-12-07 11:13:09,1,0,0,0,0,0,0
2018-12-07 11:13:11,1,0,0,0,0,0,0
2018-12-07 11:13:12,1,0,0,0,0,0,0
2018-12-07 11:13:13,2,0,0,0,0,0,0
2018-12-07 11:13:14,2,0,0,0,0,0,0
2018-12-07 11:13:15,2,0,0,0,0,0,0
2018-12-07 11:13:16,2,0,0,0,0,0,0
2018-12-07 11:13:17,3,0,0,0,0,0,0
2018-12-07 11:13:19,3,0,0,0,0,0,0
2018-12-07 11:13:20,2,0,0,0,0,0,0
2018-12-07 11:13:22,3,0,0,0,0,0,0
2018-12-07 11:13:23,1,0,0,0,0,0,0
2018-12-07 11:13:24,3,0,0,0,0,0,0
2018-12-07 11:13:25,3,0,0,0,0,0,0
2018-12-07 11:13:26,1,0,0,0,0,0,0
2018-12-07 11:13:27,1,0,0,0,0,0,0
2018-12-07 11:13:28,1,0,0,0,0,0,0
2018-12-07 11:13:29,1,0,0,0,0,0,0
2018-12-07 11:13:30,3,0,0,0,0,0,0
2018-12-07 11:13:31,3,0,0,0,0,0,0
2018-12-07 11:13:33,1,0,0,0,0,0,0
2018-12-07 11:13:34,2,6,0,0,0,0,0
2018-12-07 11:13:37,2,0,0,0,0,0,0
2018-12-07 11:13:38,1,0,0,0,0,0,0
2018-12-07 11:13:39,1,0,0,0,0,0,0
2018-12-07 11:13:40,1,0,0,0,0,0,0
2018-12-07 11:13:42,1,0,0,0,0,0,0
2018-12-07 11:13:43,1,3,0,0,0,0,0
2018-12-07 11:13:47,1,0,0,0,0,0,0
2018-12-07 11:13:48,2,0,0,0,0,0,0
2018-12-07 11:13:50,1,0,0,0,0,0,0
2018-12-07 11:13:51,1,0,0,0,0,0,0
2018-12-07 11:13:52,1,0,0,0,0,0,0
2018-12-07 11:13:55,1,0,0,0,0,0,0
2018-12-07 11:13:58,1,0,0,0,0,0,0
