|morphs|origin
125|['효', '이', '니', '님', '닭강정', '시키', '어서', '먹', '는데', '님', '이', '늦', '게', '오', '아서', '벌써', '다', '먹', '었', '어요']|효니님 닭강정 시켜서 먹는데 님이 늦게와서 벌써 다먹었어요
126|['시', '므', '각']|심ㅡ각
127|['화나', '시', '었', '나요', '?']|화나셨나요?
128|['안', '좋', '아', '보이', '어']|안 좋아보여
129|['표정', '뭐', 'ㄴ데요', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|표정 뭔데요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
130|['따', '아', '만']|따만
131|['아니', '연기', '너무', '티', '나', 'ㄴ', '다구', '요']|아니 연기너무티난다구요
132|['왜', '늦', '었', '냐', '하', '아', '명', '하', '아']|왜늦었냐 해 명 해
133|['말', '수', 'ㄱ', '이', '는', '전설', '이', '던', '대', '무', '하', '냐']|말숙이는 전설이던대 무하냐
134|['효', '이', '니', '형', '표정', '왜', '그러', '어', 'ㅋㅋ', 'ㅋㅋ']|효니형 표정 왜 그래 ㅋㅋㅋㅋ
135|['심각', '하', 'ㄴ', '척', '하', '지', '말', '아요']|심각한척 하지마요
136|['회초리', '잡', '을', '생각', '이', 'ㄴ가']|회초리 잡을 생각인가
137|['연기', '들어가', 'ㅂ니다', '이', 'ㅇ', '~']|연기 들어갑니다잉~
138|['지각', '하', '았', '으니', '곰보겜하자']|지각했으니 곰보겜하자
139|['똥', 'ㄲ', 'ㅗ']|똥꼬
140|['지각', '하', '았', '으면서']|지각했으면서
141|['ㅋㅋ', '모', '하', '아']|ㅋㅋ 모해
142|['왜', '하', '게', '화나', '있', '어요']|왜케 화나있어요
143|['잘생기', '었', '다']|잘생겼다
144|['보', 'ㄹ', '살', '잡히', '는', '거', '보', '아', '개', '귀', '욥']|볼살 잡히는거 봐 개귀욥
145|['눈썹', '만', '보', '아도', '알', '수', '있', '음']|눈썹만 봐도 알수있음
146|['따', '효', '이', '니', '/', 'ㄴ', 'ㅗ', 'ㄴ', '란']|따효니/논란
147|['따', '무', '새', '들', '회초리', '잡', '는', '날', '이', 'ㄴ가']|따무새들 회초리 잡는 날인가
148|['오늘', '잘생기', '었', '다']|오늘 잘생겼다
149|['안', '들리', '어']|안들려
150|['소리', '잘', '안', '들리', '어', '이', '어']|소리 잘 안들려여
151|['소리', '는', '왜', 'ㄹ', '캐', '작', '아']|소리는 왤캐 작아
152|['마이크', '안', '들리', 'ㅁ']|마이크 안들림
153|['안', '들리', '어', '용']|안들려용
154|['오늘', '기가', 'ㅇ', '잡', '는', '날', '이', 'ㄴ가', 'ㅠ']|오늘 기강 잡는 날인가 ㅠ
155|['소리', '안', '들리', '어']|소리 안들려
156|['소리', '너무', '작', '아', '이', '어']|소리 너무 작아여
157|['마이크', '가까이', '점', '이', '어']|마이크 가까이 점여
158|['잘', '안', '들리', 'ㅁ']|잘안들림
159|['성', '나', 'ㄴ', '민심', '을', '다스리', 'ㄹ', '방법', '띠', 'ㅇ', '킹', '중', '...']|성난민심을다스릴방법 띵킹중...
160|['절', '대', '냥', '캐', 'ㅁ', '켜', '어']|절 대 냥 캠 켜
161|['안', '들리', 'ㅁ']|안들림
162|['엉덩이', '아프', 'ㄴ', '척']|엉덩이 아픈척
163|['소', '리좀', '키우', '어', '죠']|소리좀 키워죠
164|['해명', '하', '아라']|해명해라
165|['마이크', '내리', '어', '용']|마이크 내려용
166|['따', '아', '따', '아']|따따
167|['약수터', '루', 'ㄱ', '뭐', '이', 'ㅁ', '?', 'ㅋㅋ']|약수터룩 뭐임?ㅋㅋ
168|['님', '목소리', '가', '안', '들리', 'ㄴ다구', '요']|님 목소리가 안들린다구요
169|['아니', '안', '들리', 'ㄴ다고', '이', '어']|아니 안들린다고여
170|['바꾸', '었', '다고', '?']|바꿨다고?
171|['개', '안', '들리', '어']|개안들려
172|['안', '들리', '어']|안 들려
173|['엉덩이', '는', '어떻', '어요']|엉덩이는어때요
174|['안', '들리', 'ㄴ다니까']|안들린다니까
175|['소리', '좀', '크', '게', '하', '아', '주', '시', '어요']|소리 좀 크게 해주세요
176|['따', '아', '효', '니', '수술', '잘', '받', '았', '어', '?', '?']|따 효 니 수술 잘받았어??
177|['안', '들리', '어요']|안들려요
178|['따', '아', '아아', '아아', 'ㅇ', '아아', '아악']|따아아아아앙아아아악
179|['엉덩이', '보이', '어', '주', '시', '어요']|엉덩이 보여주세요
180|['마이크', '안', '들리', '어', '이', '어']|마이크 안들려여
181|['구라', '하', '지', '지', '마']|구라치지마
182|['잘', '안', '들리', '어요']|잘 안들려요
183|['안', '들리', '어', '형']|안들려 형
184|['마이크', '내리', '어', '주세', 'ㅇ']|마이크 내려주셍
185|['좀', '죄송', '하', '어요', '?']|좀죄송해요?
186|['안', '들리', '어', 'ㅠ']|안들려 ㅠ
187|['지', '글', '지그', 'ㄹ']|지글지글
188|['우리', 'ㄴ', '소리', '가', '안', '들리', 'ㅁ']|우린 소리가 안들림
