time,cnt_chat,cnt_ㅋ,cnt_ㄵ,cnt_오,cnt_와,cnt_유하,cnt_ㄷㄷ,validation
2018-12-12 00:09:31,3,0,0,0,0,0,0,0
2018-12-12 00:09:32,2,10,0,0,0,0,0,0
2018-12-12 00:09:33,2,0,0,0,0,0,0,0
2018-12-12 00:09:34,4,0,0,0,0,0,0,0
2018-12-12 00:09:35,6,15,0,0,0,0,0,0
2018-12-12 00:09:36,1,0,0,0,0,0,0,0
2018-12-12 00:09:38,1,0,0,0,0,0,0,0
2018-12-12 00:09:39,1,0,0,0,0,0,0,0
2018-12-12 00:09:40,2,7,0,0,0,0,0,0
2018-12-12 00:09:42,1,0,0,0,0,0,0,0
2018-12-12 00:09:43,1,0,0,0,0,0,0,0
2018-12-12 00:09:48,1,0,0,0,0,0,0,0
2018-12-12 00:09:49,1,0,0,0,0,0,0,0
2018-12-12 00:09:50,1,0,0,0,0,0,0,0
2018-12-12 00:09:52,1,0,0,0,0,0,0,0
2018-12-12 00:09:54,1,0,0,0,0,0,0,0
2018-12-12 00:09:56,1,0,0,0,0,0,0,0
2018-12-12 00:09:57,1,0,0,0,0,0,0,0
2018-12-12 00:09:58,2,0,0,0,0,0,0,0
2018-12-12 00:10:01,1,0,0,0,0,0,0,0
2018-12-12 00:10:02,1,0,0,0,0,0,0,0
2018-12-12 00:10:03,1,0,0,0,1,0,0,0
2018-12-12 00:10:05,2,0,0,0,0,0,0,0
2018-12-12 00:10:06,1,0,0,0,0,0,0,0
2018-12-12 00:10:08,1,0,0,0,0,0,0,0
2018-12-12 00:10:09,2,5,0,0,0,0,0,0
2018-12-12 00:10:11,1,0,0,0,0,0,0,0
2018-12-12 00:10:17,1,0,0,0,0,0,0,0
2018-12-12 00:10:19,1,0,0,0,0,0,0,0
2018-12-12 00:10:25,1,0,0,0,0,0,0,0
2018-12-12 00:10:26,2,0,0,0,0,0,0,0
2018-12-12 00:10:27,3,0,0,0,0,0,0,0
2018-12-12 00:10:28,2,0,0,0,0,0,0,0
2018-12-12 00:10:30,3,0,0,0,0,0,0,0
2018-12-12 00:10:31,1,0,0,1,0,0,0,0
2018-12-12 00:10:32,2,0,0,0,0,0,0,0
2018-12-12 00:10:33,1,0,0,0,0,0,0,0
2018-12-12 00:10:36,1,0,0,0,0,0,0,0
2018-12-12 00:10:38,5,2,0,0,0,0,0,0
2018-12-12 00:10:40,3,0,0,0,0,0,0,0
2018-12-12 00:10:41,2,0,0,0,0,0,0,0
2018-12-12 00:10:42,1,0,0,0,0,0,0,0
2018-12-12 00:10:43,2,0,0,0,0,0,0,0
2018-12-12 00:10:44,2,0,0,0,0,0,0,0
2018-12-12 00:10:45,2,4,0,0,0,0,0,0
2018-12-12 00:10:47,1,0,0,0,0,0,0,0
2018-12-12 00:10:48,1,0,0,0,0,0,0,0
2018-12-12 00:10:49,1,0,0,0,0,0,0,0
2018-12-12 00:10:50,1,0,0,0,0,0,0,0
2018-12-12 00:10:51,2,2,0,0,0,0,0,0
2018-12-12 00:10:52,4,0,0,0,0,0,0,0
2018-12-12 00:10:53,1,0,0,0,0,0,0,0
2018-12-12 00:10:55,1,0,0,0,0,0,0,0
2018-12-12 00:10:56,1,0,0,0,0,0,0,0
2018-12-12 00:10:57,3,0,0,0,0,0,0,0
2018-12-12 00:10:58,2,0,0,0,0,0,0,0
2018-12-12 00:10:59,2,0,0,0,0,0,0,0
2018-12-12 00:11:01,2,0,0,1,0,0,0,0
2018-12-12 00:11:02,1,7,0,0,0,0,0,0
2018-12-12 00:11:03,2,0,0,0,0,0,0,0
2018-12-12 00:11:04,3,0,0,0,0,0,0,0
2018-12-12 00:11:05,2,0,0,0,0,0,0,0
2018-12-12 00:11:06,1,0,0,0,0,0,0,0
2018-12-12 00:11:07,2,7,0,0,0,0,0,0
2018-12-12 00:11:08,3,6,0,0,0,0,0,0
2018-12-12 00:11:09,1,0,0,1,0,0,0,0
2018-12-12 00:11:10,2,0,0,0,0,0,0,0
2018-12-12 00:11:11,2,0,0,0,0,0,0,0
2018-12-12 00:11:13,3,0,0,0,0,0,0,0
2018-12-12 00:11:14,1,0,0,0,0,0,0,0
2018-12-12 00:11:15,1,0,0,0,0,0,0,0
